CATEGORY,MEDICINE,UNITPRICE,MONTH,Sales,lag_1,rolling_mean_3,Date,month,quarter
Bones & Joints,Abies Alba | UNDA Gemmo | 125 mL,45.5,April,2279,1250,1668.333333,4/1/2024,4,2
Bones & Joints,Abies Alba | UNDA Gemmo | 125 mL,45.5,May,2679,2279,1924,5/1/2024,5,2
Bones & Joints,Abies Alba | UNDA Gemmo | 125 mL,45.5,June,1176,2679,2069.333333,6/1/2024,6,2
Bones & Joints,Abies Alba | UNDA Gemmo | 125 mL,45.5,July,2128,1176,2044.666667,7/1/2024,7,3
Bones & Joints,Abies Alba | UNDA Gemmo | 125 mL,45.5,August,2004,2128,1994.333333,8/1/2024,8,3
Bones & Joints,Abies Alba | UNDA Gemmo | 125 mL,45.5,September,2590,2004,1769.333333,9/1/2024,9,3
Bones & Joints,Abies Alba | UNDA Gemmo | 125 mL,45.5,October,1216,2590,2240.666667,10/1/2024,10,4
Bones & Joints,Abies Alba | UNDA Gemmo | 125 mL,45.5,November,1408,1216,1936.666667,11/1/2024,11,4
Bones & Joints,Abies Alba | UNDA Gemmo | 125 mL,45.5,December,1345,1408,1738,12/1/2024,12,4
Bones & Joints,Active Legs™ Strong | New Nordic | 30 Coated Tablets,34.95,April,1108,1013,1612.333333,4/1/2024,4,2
Bones & Joints,Active Legs™ Strong | New Nordic | 30 Coated Tablets,34.95,May,1584,1108,1237.666667,5/1/2024,5,2
Bones & Joints,Active Legs™ Strong | New Nordic | 30 Coated Tablets,34.95,June,1450,1584,1235,6/1/2024,6,2
Bones & Joints,Active Legs™ Strong | New Nordic | 30 Coated Tablets,34.95,July,1505,1450,1380.666667,7/1/2024,7,3
Bones & Joints,Active Legs™ Strong | New Nordic | 30 Coated Tablets,34.95,August,1003,1505,1513,8/1/2024,8,3
Bones & Joints,Active Legs™ Strong | New Nordic | 30 Coated Tablets,34.95,September,2563,1003,1319.333333,9/1/2024,9,3
Bones & Joints,Active Legs™ Strong | New Nordic | 30 Coated Tablets,34.95,October,1623,2563,1690.333333,10/1/2024,10,4
Bones & Joints,Active Legs™ Strong | New Nordic | 30 Coated Tablets,34.95,November,1279,1623,1729.666667,11/1/2024,11,4
Bones & Joints,Active Legs™ Strong | New Nordic | 30 Coated Tablets,34.95,December,2466,1279,1821.666667,12/1/2024,12,4
Bones & Joints,Adrenotone™ | Designs for Health® | 90 Capsules,35.53,April,1539,1365,2267.333333,4/1/2024,4,2
Bones & Joints,Adrenotone™ | Designs for Health® | 90 Capsules,35.53,May,1027,1539,1850,5/1/2024,5,2
Bones & Joints,Adrenotone™ | Designs for Health® | 90 Capsules,35.53,June,2560,1027,1310.333333,6/1/2024,6,2
Bones & Joints,Adrenotone™ | Designs for Health® | 90 Capsules,35.53,July,2257,2560,1708.666667,7/1/2024,7,3
Bones & Joints,Adrenotone™ | Designs for Health® | 90 Capsules,35.53,August,1718,2257,1948,8/1/2024,8,3
Bones & Joints,Adrenotone™ | Designs for Health® | 90 Capsules,35.53,September,2931,1718,2178.333333,9/1/2024,9,3
Bones & Joints,Adrenotone™ | Designs for Health® | 90 Capsules,35.53,October,1567,2931,2302,10/1/2024,10,4
Bones & Joints,Adrenotone™ | Designs for Health® | 90 Capsules,35.53,November,2680,1567,2072,11/1/2024,11,4
Bones & Joints,Adrenotone™ | Designs for Health® | 90 Capsules,35.53,December,2932,2680,2392.666667,12/1/2024,12,4
Bones & Joints,Advanced Bone Protection | AOR™ | 30 Capsules,37.47,April,1640,2850,2044.666667,4/1/2024,4,2
Bones & Joints,Advanced Bone Protection | AOR™ | 30 Capsules,37.47,May,2501,1640,2159,5/1/2024,5,2
Bones & Joints,Advanced Bone Protection | AOR™ | 30 Capsules,37.47,June,1114,2501,2330.333333,6/1/2024,6,2
Bones & Joints,Advanced Bone Protection | AOR™ | 30 Capsules,37.47,July,2865,1114,1751.666667,7/1/2024,7,3
Bones & Joints,Advanced Bone Protection | AOR™ | 30 Capsules,37.47,August,1528,2865,2160,8/1/2024,8,3
Bones & Joints,Advanced Bone Protection | AOR™ | 30 Capsules,37.47,September,1322,1528,1835.666667,9/1/2024,9,3
Bones & Joints,Advanced Bone Protection | AOR™ | 30 Capsules,37.47,October,1183,1322,1905,10/1/2024,10,4
Bones & Joints,Advanced Bone Protection | AOR™ | 30 Capsules,37.47,November,1524,1183,1344.333333,11/1/2024,11,4
Bones & Joints,Advanced Bone Protection | AOR™ | 30 Capsules,37.47,December,1030,1524,1343,12/1/2024,12,4
Bones & Joints,Advanced Bone Support | Thorne® | 120 Capsules,49.99,April,1702,1701,2150.666667,4/1/2024,4,2
Bones & Joints,Advanced Bone Support | Thorne® | 120 Capsules,49.99,May,2691,1702,2073,5/1/2024,5,2
Bones & Joints,Advanced Bone Support | Thorne® | 120 Capsules,49.99,June,1233,2691,2031.333333,6/1/2024,6,2
Bones & Joints,Advanced Bone Support | Thorne® | 120 Capsules,49.99,July,2248,1233,1875.333333,7/1/2024,7,3
Bones & Joints,Advanced Bone Support | Thorne® | 120 Capsules,49.99,August,1357,2248,2057.333333,8/1/2024,8,3
Bones & Joints,Advanced Bone Support | Thorne® | 120 Capsules,49.99,September,2077,1357,1612.666667,9/1/2024,9,3
Bones & Joints,Advanced Bone Support | Thorne® | 120 Capsules,49.99,October,1850,2077,1894,10/1/2024,10,4
Bones & Joints,Advanced Bone Support | Thorne® | 120 Capsules,49.99,November,1044,1850,1761.333333,11/1/2024,11,4
Bones & Joints,Advanced Bone Support | Thorne® | 120 Capsules,49.99,December,1824,1044,1657,12/1/2024,12,4
Bones & Joints,Ampelopsis weitchii | UNDA Gemmo | 125 mL,46.5,April,2961,1922,1953,4/1/2024,4,2
Bones & Joints,Ampelopsis weitchii | UNDA Gemmo | 125 mL,46.5,May,1163,2961,2477.333333,5/1/2024,5,2
Bones & Joints,Ampelopsis weitchii | UNDA Gemmo | 125 mL,46.5,June,2456,1163,2015.333333,6/1/2024,6,2
Bones & Joints,Ampelopsis weitchii | UNDA Gemmo | 125 mL,46.5,July,1528,2456,2193.333333,7/1/2024,7,3
Bones & Joints,Ampelopsis weitchii | UNDA Gemmo | 125 mL,46.5,August,2061,1528,1715.666667,8/1/2024,8,3
